                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.62609,                0.38409,                0.88331,                0.97595,                0.97805,                0.99078,                0.86488,                0.54239,                0.29931,                0.85572,              0.0094357,              0.0094357,              0.0094357
                     60,                0.62516,                0.38473,                0.88234,                0.97829,                0.97874,                0.99046,                0.86704,                0.53927,                 0.2996,                0.85568,              0.0094258,              0.0094258,              0.0094258
                     61,                0.61936,                0.37761,                 0.8806,                0.97578,                0.98368,                0.99106,                0.86779,                0.53665,                0.29454,                0.85307,              0.0094159,              0.0094159,              0.0094159
                     62,                0.62031,                0.37704,                0.88065,                0.98021,                0.97978,                0.99124,                0.86713,                0.53855,                0.29731,                0.85444,               0.009406,               0.009406,               0.009406
                     63,                0.61357,                0.37423,                0.88026,                0.97756,                0.98174,                0.99132,                0.86999,                0.52888,                0.29205,                0.85082,              0.0093961,              0.0093961,              0.0093961
                     64,                0.61289,                 0.3746,                0.88043,                0.97612,                0.98188,                 0.9912,                0.87107,                0.52975,                 0.2911,                0.85062,              0.0093862,              0.0093862,              0.0093862
                     65,                0.60583,                0.36934,                0.87834,                0.98159,                0.97803,                0.99099,                0.87088,                0.52741,                 0.2932,                0.85173,              0.0093763,              0.0093763,              0.0093763
                     66,                0.60602,                 0.3722,                0.88046,                0.97771,                0.97803,                0.99019,                0.86876,                0.53737,                0.29583,                0.85496,              0.0093664,              0.0093664,              0.0093664
                     67,                0.61256,                0.37143,                0.87951,                0.98008,                0.98114,                0.99162,                0.87308,                0.52509,                0.29223,                0.84905,              0.0093565,              0.0093565,              0.0093565
                     68,                0.60467,                0.37301,                0.87838,                0.98023,                0.98104,                0.99124,                0.87396,                0.52199,                 0.2894,                0.84971,              0.0093466,              0.0093466,              0.0093466
                     69,                0.60312,                0.36934,                0.87622,                0.97827,                0.97917,                0.99076,                0.87159,                0.52609,                0.29069,                0.85101,              0.0093367,              0.0093367,              0.0093367
                     70,                0.59756,                 0.3673,                0.87602,                0.98099,                 0.9799,                0.99085,                0.87316,                0.52331,                0.28899,                0.85143,              0.0093268,              0.0093268,              0.0093268
                     71,                0.60184,                0.36821,                0.87579,                0.98076,                0.98352,                0.99179,                0.87611,                0.52206,                0.28553,                0.84797,              0.0093169,              0.0093169,              0.0093169
                     72,                0.59952,                0.36628,                0.87667,                0.98175,                0.98247,                0.99167,                0.87689,                0.51932,                0.28311,                0.84925,               0.009307,               0.009307,               0.009307
                     73,                0.59391,                0.36468,                0.87456,                0.98279,                0.98136,                0.99154,                0.87879,                0.51186,                0.28149,                0.84574,              0.0092971,              0.0092971,              0.0092971
                     74,                0.59463,                 0.3626,                0.87625,                0.98304,                0.98007,                0.99094,                0.87758,                 0.5194,                0.28363,                0.84815,              0.0092872,              0.0092872,              0.0092872
                     75,                0.59583,                0.36308,                0.87268,                0.98423,                0.98392,                0.99177,                0.88023,                0.51035,                0.27852,                0.84482,              0.0092773,              0.0092773,              0.0092773
                     76,                0.58525,                0.36025,                0.86947,                0.98248,                0.98086,                0.99126,                0.88025,                0.51019,                0.28039,                0.84426,              0.0092674,              0.0092674,              0.0092674
                     77,                0.58745,                0.35909,                 0.8729,                0.98184,                 0.9825,                0.99152,                0.87987,                0.51096,                 0.2783,                0.84519,              0.0092575,              0.0092575,              0.0092575
                     78,                0.58549,                0.35892,                 0.8709,                0.98454,                0.98138,                0.99183,                0.87848,                0.51198,                0.28002,                0.84573,              0.0092476,              0.0092476,              0.0092476
                     79,                0.58185,                0.35714,                 0.8702,                0.98166,                0.98305,                0.99163,                0.88088,                0.50673,                0.27965,                0.84474,              0.0092377,              0.0092377,              0.0092377
                     80,                 0.5826,                0.35521,                0.86973,                0.97891,                0.98552,                0.99198,                0.88086,                0.50539,                0.27732,                0.84461,              0.0092278,              0.0092278,              0.0092278
                     81,                0.57941,                0.35358,                0.87048,                0.98131,                0.98391,                0.99142,                0.88404,                0.50203,                0.27396,                 0.8414,              0.0092179,              0.0092179,              0.0092179
                     82,                0.58557,                0.35662,                0.87028,                0.98058,                0.98583,                0.99224,                0.88348,                0.50193,                0.27467,                0.84185,               0.009208,               0.009208,               0.009208
                     83,                0.58017,                 0.3536,                 0.8677,                0.98142,                0.98643,                0.99251,                 0.8853,                0.49781,                0.27189,                0.84018,              0.0091981,              0.0091981,              0.0091981
                     84,                0.57539,                0.35278,                0.86613,                0.98273,                0.98251,                0.99248,                 0.8855,                0.49537,                0.27398,                0.83819,              0.0091882,              0.0091882,              0.0091882
                     85,                0.57491,                0.35142,                0.86788,                0.98318,                0.98379,                0.99224,                0.88819,                0.49446,                0.27139,                0.84027,              0.0091783,              0.0091783,              0.0091783
                     86,                0.57691,                0.35082,                0.86822,                0.98121,                0.98336,                0.99227,                  0.886,                0.49231,                0.27035,                0.83874,              0.0091684,              0.0091684,              0.0091684
                     87,                0.57602,                0.34793,                0.86762,                0.98428,                0.98505,                0.99215,                0.88771,                0.49162,                 0.2692,                0.83726,              0.0091585,              0.0091585,              0.0091585
                     88,                0.57202,                0.34834,                0.86565,                0.98131,                0.98414,                 0.9922,                0.88778,                0.49088,                0.26927,                0.83804,              0.0091486,              0.0091486,              0.0091486
                     89,                0.56775,                0.34863,                0.86448,                0.98446,                0.98366,                0.99214,                0.88732,                0.48697,                0.26805,                0.83679,              0.0091387,              0.0091387,              0.0091387
                     90,                   0.57,                0.35107,                0.86455,                0.98346,                0.98532,                0.99247,                0.89043,                0.48647,                0.26643,                0.83847,              0.0091288,              0.0091288,              0.0091288
                     91,                0.56653,                0.34676,                0.86655,                0.98462,                0.98175,                0.99214,                0.88992,                0.48727,                0.26627,                0.83741,              0.0091189,              0.0091189,              0.0091189
                     92,                0.56694,                0.34572,                0.86509,                0.98326,                 0.9858,                0.99247,                0.88809,                0.49119,                  0.267,                0.83822,               0.009109,               0.009109,               0.009109
                     93,                0.56586,                0.34586,                0.86547,                0.98563,                0.98293,                 0.9924,                0.88976,                 0.4867,                 0.2664,                 0.8376,              0.0090991,              0.0090991,              0.0090991
                     94,                0.55954,                0.34286,                0.86442,                0.98577,                0.98597,                 0.9929,                0.89256,                0.48071,                0.26316,                0.83661,              0.0090892,              0.0090892,              0.0090892
                     95,                0.55992,                0.34271,                0.86374,                  0.986,                0.98437,                0.99226,                 0.8911,                0.48341,                0.26376,                 0.8365,              0.0090793,              0.0090793,              0.0090793
                     96,                0.56273,                0.34504,                0.86483,                0.98633,                0.98495,                0.99247,                0.89329,                 0.4765,                0.26086,                0.83417,              0.0090694,              0.0090694,              0.0090694
                     97,                 0.5579,                0.34143,                0.86253,                0.98448,                0.98467,                0.99273,                0.89216,                0.48265,                0.26318,                0.83581,              0.0090595,              0.0090595,              0.0090595
                     98,                0.55977,                0.34078,                0.86141,                0.98469,                0.98673,                0.99248,                0.89431,                0.47639,                0.25946,                  0.835,              0.0090496,              0.0090496,              0.0090496
                     99,                0.55499,                0.34145,                0.86129,                 0.9869,                0.98785,                0.99258,                 0.8948,                 0.4751,                 0.2569,                0.83409,              0.0090397,              0.0090397,              0.0090397
                    100,                0.55732,                0.33771,                0.86237,                0.98662,                0.98646,                0.99273,                0.89378,                0.47506,                0.25821,                0.83373,              0.0090298,              0.0090298,              0.0090298
                    101,                0.55494,                0.33967,                0.86263,                0.98651,                0.98741,                0.99301,                0.89662,                0.47028,                0.25631,                0.83443,              0.0090199,              0.0090199,              0.0090199
                    102,                0.55557,                0.33691,                 0.8611,                0.98437,                0.98749,                 0.9927,                0.89521,                0.47346,                0.25711,                0.83306,                0.00901,                0.00901,                0.00901
                    103,                0.55118,                 0.3351,                0.85921,                0.98316,                0.98915,                0.99281,                0.89625,                   0.47,                0.25607,                0.83242,              0.0090001,              0.0090001,              0.0090001
                    104,                0.55092,                0.33686,                0.86099,                0.98584,                0.98625,                0.99265,                0.89714,                0.46724,                0.25413,                0.83366,              0.0089902,              0.0089902,              0.0089902
                    105,                0.55208,                0.33603,                0.86247,                0.98813,                0.98692,                0.99283,                0.89689,                0.47196,                0.25444,                0.83239,              0.0089803,              0.0089803,              0.0089803
                    106,                0.55256,                0.33577,                   0.86,                0.98693,                0.98753,                0.99274,                0.89732,                0.46836,                0.25399,                0.83191,              0.0089704,              0.0089704,              0.0089704
                    107,                0.54819,                0.33619,                0.86038,                0.98749,                0.98645,                0.99247,                0.89901,                0.46423,                0.25224,                 0.8313,              0.0089605,              0.0089605,              0.0089605
                    108,                0.54397,                0.33158,                0.85814,                0.98814,                0.98827,                0.99259,                0.89965,                0.46034,                 0.2504,                0.83011,              0.0089506,              0.0089506,              0.0089506
                    109,                0.54683,                0.33343,                0.85633,                0.98715,                0.98755,                0.99288,                0.89857,                0.46642,                0.25151,                0.83158,              0.0089407,              0.0089407,              0.0089407
                    110,                0.54672,                0.33431,                0.86113,                0.98907,                0.98769,                0.99302,                0.89888,                0.46282,                0.25038,                0.83085,              0.0089308,              0.0089308,              0.0089308
                    111,                0.54113,                0.33174,                0.85826,                0.98442,                0.98997,                 0.9929,                0.90192,                0.46008,                0.25183,                0.82969,              0.0089209,              0.0089209,              0.0089209
                    112,                0.54245,                0.33256,                0.85819,                0.98764,                0.98824,                0.99336,                0.90318,                0.45691,                0.25013,                0.82809,               0.008911,               0.008911,               0.008911
                    113,                  0.541,                0.33145,                0.85688,                0.98788,                0.98751,                0.99303,                0.90219,                 0.4543,                0.24847,                0.82742,              0.0089011,              0.0089011,              0.0089011
                    114,                0.53855,                0.33071,                0.85634,                0.98603,                0.98783,                0.99317,                0.90289,                0.45238,                0.24799,                0.82723,              0.0088912,              0.0088912,              0.0088912
                    115,                0.53857,                0.33176,                0.85746,                0.98647,                0.98903,                0.99358,                0.90326,                0.45377,                0.24784,                0.82804,              0.0088813,              0.0088813,              0.0088813
                    116,                0.53942,                0.33129,                 0.8573,                0.98772,                0.98876,                0.99336,                0.90314,                0.45189,                0.24765,                0.82779,              0.0088714,              0.0088714,              0.0088714
                    117,                 0.5371,                0.32969,                0.85759,                0.98751,                0.98856,                0.99321,                 0.9041,                0.45332,                0.24668,                0.82748,              0.0088615,              0.0088615,              0.0088615
                    118,                0.53584,                 0.3287,                0.85477,                0.98634,                 0.9897,                0.99339,                0.90373,                 0.4519,                0.24671,                0.82737,              0.0088516,              0.0088516,              0.0088516
                    119,                0.53253,                0.32607,                0.85464,                0.98619,                0.98871,                0.99327,                0.90472,                0.45023,                0.24623,                0.82764,              0.0088417,              0.0088417,              0.0088417
                    120,                0.53476,                 0.3275,                0.85515,                0.98694,                0.98992,                0.99339,                0.90476,                0.45152,                0.24381,                0.82716,              0.0088318,              0.0088318,              0.0088318
                    121,                0.53267,                 0.3252,                0.85666,                0.98745,                0.98945,                0.99343,                 0.9062,                0.44605,                0.24299,                0.82619,              0.0088219,              0.0088219,              0.0088219
                    122,                0.53505,                0.32759,                 0.8561,                0.98705,                0.98886,                0.99311,                0.90548,                0.44665,                0.24469,                0.82651,               0.008812,               0.008812,               0.008812
                    123,                0.53517,                0.32694,                0.85647,                0.98749,                 0.9883,                0.99328,                0.90586,                0.44514,                0.24257,                0.82597,              0.0088021,              0.0088021,              0.0088021
                    124,                0.53315,                 0.3256,                0.85652,                0.98568,                0.98954,                0.99321,                0.90658,                0.44635,                0.24443,                0.82569,              0.0087922,              0.0087922,              0.0087922
                    125,                0.52907,                0.32603,                0.85545,                0.98585,                0.98985,                0.99317,                0.90835,                0.44449,                0.24204,                 0.8257,              0.0087823,              0.0087823,              0.0087823
                    126,                0.53254,                0.32206,                0.85497,                0.98662,                0.98957,                0.99307,                0.90925,                0.44008,                0.24137,                0.82472,              0.0087724,              0.0087724,              0.0087724
                    127,                0.52679,                0.32408,                  0.854,                0.98549,                 0.9912,                0.99302,                0.90762,                0.44184,                0.24151,                0.82526,              0.0087625,              0.0087625,              0.0087625
                    128,                0.52732,                0.32238,                0.85424,                0.98821,                0.99011,                0.99315,                0.90974,                0.43678,                0.23809,                0.82396,              0.0087526,              0.0087526,              0.0087526
                    129,                0.52834,                0.32264,                0.85324,                0.98869,                0.98819,                0.99321,                0.90939,                0.43622,                0.23836,                0.82388,              0.0087427,              0.0087427,              0.0087427
                    130,                0.52529,                0.32264,                 0.8541,                0.98815,                0.98926,                0.99322,                0.90989,                0.43541,                0.23775,                0.82375,              0.0087328,              0.0087328,              0.0087328
                    131,                0.52695,                0.32282,                0.85644,                0.98975,                 0.9873,                0.99322,                0.91072,                0.43505,                0.23766,                0.82327,              0.0087229,              0.0087229,              0.0087229
                    132,                0.52913,                0.32285,                0.85338,                0.99042,                0.98883,                0.99344,                0.91075,                0.43386,                0.23736,                0.82324,               0.008713,               0.008713,               0.008713
                    133,                0.52507,                0.32196,                0.85321,                0.99041,                0.98888,                 0.9935,                0.91205,                0.43321,                0.23639,                0.82252,              0.0087031,              0.0087031,              0.0087031
