                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.57334,                0.34033,                0.89908,                0.97435,                0.97519,                0.98834,                0.88912,                0.43499,                0.24236,                0.85031,              0.0098482,              0.0098482,              0.0098482
                     49,                0.57124,                0.33977,                0.89583,                0.97586,                0.97783,                0.98896,                0.88924,                0.43574,                0.24294,                0.85178,              0.0098449,              0.0098449,              0.0098449
                     50,                0.56736,                0.33606,                0.89442,                0.97477,                0.97664,                0.98913,                0.88949,                0.43245,                 0.2417,                0.84907,              0.0098416,              0.0098416,              0.0098416
                     51,                0.56709,                0.33485,                0.89325,                0.97763,                 0.9758,                0.98794,                0.88925,                0.43064,                0.24133,                0.84814,              0.0098383,              0.0098383,              0.0098383
                     52,                0.56771,                0.33621,                0.89549,                 0.9739,                0.97762,                0.98998,                0.89346,                0.42777,                0.23825,                  0.846,               0.009835,               0.009835,               0.009835
                     53,                0.56236,                0.33425,                0.89276,                 0.9697,                0.98067,                0.98925,                0.89361,                0.42656,                0.23759,                0.84631,              0.0098317,              0.0098317,              0.0098317
                     54,                0.55991,                0.33348,                0.88948,                0.97349,                0.97836,                0.98909,                 0.8926,                0.42465,                0.23665,                0.84545,              0.0098284,              0.0098284,              0.0098284
                     55,                0.55817,                0.32992,                0.89022,                0.97336,                0.98195,                0.98935,                 0.8944,                0.42478,                0.23404,                0.84621,              0.0098251,              0.0098251,              0.0098251
                     56,                0.55893,                0.32837,                0.88873,                0.97782,                0.97499,                0.98961,                0.89593,                0.42076,                0.23392,                0.84375,              0.0098218,              0.0098218,              0.0098218
                     57,                0.55145,                0.32726,                0.88673,                0.97856,                0.97606,                0.99006,                0.89548,                0.42113,                0.23264,                0.84286,              0.0098185,              0.0098185,              0.0098185
                     58,                0.55211,                0.32667,                0.88902,                0.97397,                0.98162,                0.99006,                0.89803,                0.41707,                0.23066,                0.84248,              0.0098152,              0.0098152,              0.0098152
                     59,                0.55087,                0.32486,                 0.8883,                0.97839,                0.98036,                0.98999,                0.90013,                0.41162,                0.22585,                0.84204,              0.0098119,              0.0098119,              0.0098119
                     60,                0.54981,                0.32538,                0.88486,                0.97689,                0.98151,                0.98946,                0.89886,                0.41318,                0.22812,                0.84019,              0.0098086,              0.0098086,              0.0098086
                     61,                0.54452,                0.32145,                  0.885,                0.97697,                 0.9805,                0.98934,                0.90041,                0.41026,                 0.2259,                0.83852,              0.0098053,              0.0098053,              0.0098053
                     62,                0.54457,                0.32125,                0.88453,                0.97838,                0.98136,                0.99001,                0.90086,                0.40895,                0.22463,                0.83738,               0.009802,               0.009802,               0.009802
                     63,                0.54191,                0.31899,                 0.8858,                0.97758,                0.98192,                0.99013,                0.90201,                 0.4069,                 0.2221,                0.83813,              0.0097987,              0.0097987,              0.0097987
                     64,                0.54459,                0.32133,                0.88562,                0.98042,                0.98066,                0.99101,                0.90404,                 0.4048,                 0.2207,                0.83539,              0.0097954,              0.0097954,              0.0097954
